AIRLINE_ID,CARRIER,CARRIER_ENTITY,CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_ENTITY,UNIQUE_CARRIER_NAME,WAC,CARRIER_GROUP,CARRIER_GROUP_NEW,REGION,START_DATE_SOURCE,THRU_DATE_SOURCE
20502,MY,17051,MAXjet,MY,17051,MAXjet,10,1,1,Latin America,1/1/07,12/31/07
20502,MY,17050,MAXjet,MY,17050,MAXjet,10,1,1,Atlantic,1/1/07,12/31/07
20502,MY,17051,MAXjet,MY,17051,MAXjet,10,1,4,Latin America,11/1/05,12/31/06
21007,BZQ,10004,"Abaco Air, Ltd.",BZQ,10004,"Abaco Air, Ltd.",204,0,0,International,8/1/05,7/31/13
21008,CAQ,10005,Challenge Air Luftverkehrs GmbH,CAQ,10005,Challenge Air Luftverkehrs GmbH,429,0,0,International,9/1/05,
21022,Z3,1100,"PM Air, LLC",Z3,1100,"PM Air, LLC",1,1,5,Domestic,10/1/05,3/31/16
21022,Z3,1100,"PM Air, LLC",Z3,1100,"PM Air, LLC",33,1,5,Domestic,4/1/16,
21029,HBQ,1113,Harris Air Services,HBQ,1113,Harris Air Services,10,1,9,Domestic,1/1/05,
21035,TIQ,71002,Tyrolean Jet Service,TIQ,71002,Tyrolean Jet Service,403,0,0,International,12/1/05,
21036,EAQ,71003,"Executive Airlines, SL",EAQ,71003,"Executive Airlines, SL",482,0,0,International,2/1/06,
21040,02Q,71004,Titan Airways,02Q,71004,Titan Airways,493,0,0,International,5/1/06,
21059,OR,71005,TUI Airlines Nederland B.V.,OR,71005,TUI Airlines Nederland B.V.,461,0,0,International,1/1/06,
21061,6R,71006,Aerounion Aerotransporte de Carga Union SA de CV,6R,71006,Aerounion Aerotransporte de Carga Union SA de CV,148,0,0,International,2/1/07,
21061,6R,71006,Aerounion ( Aerotransporte de Carga Union SA de CV,6R,71006,Aerounion Aerotransporte de Carga Union SA de CV,148,0,0,International,1/1/04,1/31/07
21069,GG,1124,"Cargo 360, Inc.",GG,1124,"Cargo 360, Inc.",10,1,1,Domestic,4/1/06,12/31/07
21069,GG,11005,"Cargo 360, Inc.",GG,11005,"Cargo 360, Inc.",10,1,1,Pacific,4/1/06,12/31/07
21070,Y2,71007,Globespan Airways Limited d/b/a Flyglobespan,Y2,71007,Globespan Airways Limited d/b/a Flyglobespan,493,0,0,International,5/1/06,
21074,WAP,71008,Arrow Panama,WAP,71008,Arrow Panama,162,0,0,International,7/1/06,
21080,04Q,1126,Tradewind Aviation,04Q,1126,Tradewind Aviation,10,1,6,Domestic,8/1/06,
21084,4M,71009,LAN Argentina,4M,71009,LAN Argentina,303,0,0,International,8/1/06,
21089,UH,1127,US Helicopter Corporation,UH,1127,US Helicopter Corporation,10,1,5,Domestic,3/1/06,3/31/10
21094,05Q,71010,"Comlux Aviation, AG",05Q,71010,"Comlux Aviation, AG",486,0,0,International,10/1/06,2/29/12
21099,NJE,71011,"NetJets Transportes Aereos, S.A.",NJE,71011,"NetJets Transportes Aereos, S.A.",469,0,0,International,12/1/06,
21107,EY,71013,Etihad Airways,EY,71013,Etihad Airways,678,0,0,International,10/1/06,
21111,3F,1129,"Pacific Airways, Inc.",3F,1129,"Pacific Airways, Inc.",1,1,5,Domestic,12/1/06,
21116,Y7,71014,Flyjet Limited d/b/a Silverjet,Y7,71014,Flyjet Limited d/b/a Silverjet,493,0,0,International,1/1/07,
21117,9T,71015,"TravelspanGT, Inc. S.A.",9T,71015,"TravelspanGT, Inc. S.A.",350,0,0,International,12/1/06,
21118,37,71016,Zeal 320,37,71016,Zeal 320,851,0,0,International,10/1/06,
21121,A0,71017,Elysair d/b/a L'Avion,A0,71017,Elysair d/b/a L'Avion,427,0,0,International,1/1/07,
21126,9N,71018,ANA & JP Express Co. Ltd.,9N,71018,ANA & JP Express Co. Ltd.,736,0,0,International,10/1/06,
21131,VSA,71019,VistaJet Luftfahrtunternehmen GmbH,VSA,71019,VistaJet Luftfahrtunternehmen GmbH,403,0,0,International,2/1/07,
21132,06Q,71020,Master Top Linhas Aereas Ltd.,06Q,71020,Master Top Linhas Aereas Ltd.,316,0,0,International,1/1/07,
21134,0J,71021,JetClub AG,0J,71021,JetClub AG,486,0,0,International,2/1/07,
21136,07Q,71022,Flair Airlines Ltd.,07Q,71022,Flair Airlines Ltd.,900,0,0,International,1/1/07,
21142,9V,71024,"Avior Airlines, C.A.",9V,71024,"Avior Airlines, C.A.",388,0,0,International,2/1/07,
21147,0Q,71025,Flying Service N.V.,0Q,71025,Flying Service N.V.,409,0,0,International,1/1/07,
21148,Q4,71026,"Master Top Linhas Aereas, Ltda.",Q4,71026,"Master Top Linhas Aereas, Ltda.",316,0,0,International,2/1/07,2/29/12
21158,IGA,71029,"Global Jet Austria, GmbH",IGA,71029,"Global Jet Austria, GmbH",403,0,0,International,5/1/07,
21160,SVW,71031,"Global Jet Luxembourg, Sa",SVW,71031,"Global Jet Luxembourg, Sa",454,0,0,International,5/1/07,
21161,09Q,1130,"Swift Air, LLC",09Q,1130,"Swift Air, LLC",10,1,4,Domestic,1/1/09,12/31/15
21161,09Q,1130,"Swift Air, LLC",09Q,1130,"Swift Air, LLC",10,1,1,Domestic,1/1/16,
21161,09Q,1130,"Swift Air, LLC",09Q,1130,"Swift Air, LLC",10,1,1,Domestic,11/1/06,12/31/08
21167,CP,1131,Compass Airlines,CP,1131,Compass Airlines,10,2,2,Domestic,1/1/10,
21167,CP,11015,Compass Airlines,CP,11015,Compass Airlines,10,2,2,Latin America,1/1/10,
21167,CP,1131,Compass Airlines,CP,1131,Compass Airlines,10,1,1,Domestic,5/1/07,12/31/09
21167,CP,11015,Compass Airlines,CP,11015,Compass Airlines,10,1,1,Latin America,10/1/09,12/31/09
21171,VX,1006,Virgin America,VX,1006,Virgin America,10,1,1,Domestic,7/1/07,12/31/08
21171,VX,1006,Virgin America,VX,1006,Virgin America,10,2,2,Domestic,1/1/09,12/31/12
21171,VX,11020,Virgin America,VX,11020,Virgin America,10,2,2,Latin America,12/1/10,12/31/12
21171,VX,1006,Virgin America,VX,1006,Virgin America,10,3,3,Domestic,1/1/13,
21171,VX,11020,Virgin America,VX,11020,Virgin America,10,3,3,Latin America,1/1/13,
21177,SX,1133,"Skybus Airlines, Inc.",SX,1133,"Skybus Airlines, Inc.",10,1,1,Domestic,5/1/07,6/30/08
21181,5G,71032,"Skyservice Airlines, Inc.",5G,71032,"Skyservice Airlines, Inc.",900,0,0,International,5/1/07,3/31/10
21186,0BQ,71033,DCA,0BQ,71033,DCA,429,0,0,International,4/1/07,
21192,GJ,71034,Eurofly S.p.A,GJ,71034,Eurofly S.p.A,450,0,0,International,1/1/06,6/30/10
21196,0CQ,71035,ACM AIR CHARTER GmbH,0CQ,71035,ACM AIR CHARTER GmbH,429,0,0,International,9/1/07,
21201,JI,71036,Jade Cargo International,JI,71036,Jade Cargo International,713,0,0,International,3/1/07,
21202,CAZ,71037,CAT Aviation,CAZ,71037,CAT Aviation,486,0,0,International,11/1/07,
21205,0GQ,1136,"Inter Island Airways, d/b/a Inter Island Air",0GQ,1136,"Inter Island Airways, d/b/a Inter Island Air",10,1,6,Domestic,9/1/07,12/31/16
21212,0HQ,71038,Polar Airlines de Mexico d/b/a Nova Air,0HQ,71038,Polar Airlines de Mexico d/b/a Nova Air,148,0,0,International,1/1/07,
21217,0IQ,1139,Lynx Aviation d/b/a Frontier Airlines,L3,1139,Lynx Aviation d/b/a Frontier Airlines,10,1,1,Domestic,12/1/07,12/31/07
21217,L3,1139,Lynx Aviation d/b/a Frontier Airlines,L3,1139,Lynx Aviation d/b/a Frontier Airlines,10,1,1,Domestic,10/1/09,3/31/11
21217,L4,1139,Lynx Aviation d/b/a Frontier Airlines,L3,1139,Lynx Aviation d/b/a Frontier Airlines,10,1,1,Domestic,1/1/08,9/30/09
21221,XF,71039,Vladivostok Air,XF,71039,Vladivostok Air,770,0,0,International,12/1/07,8/31/14
21226,PD,71040,"Porter Airlines, Inc.",PD,71040,"Porter Airlines, Inc.",900,0,0,International,3/1/08,
21231,WG,71041,Sunwing Airlines Inc.,WG,71041,Sunwing Airlines Inc.,900,0,0,International,9/1/07,
21236,0JQ,1142,Vision Airlines,0JQ,1142,Vision Airlines,10,1,1,Domestic,1/1/15,9/30/15
21236,0JQ,11021,Vision Airlines,0JQ,11021,Vision Airlines,10,1,1,Latin America,1/1/15,9/30/15
21236,0JQ,1142,Vision Airlines,0JQ,1142,Vision Airlines,10,1,5,Domestic,4/1/08,6/30/09
21236,0JQ,1142,Vision Airlines,0JQ,1142,Vision Airlines,10,2,2,Domestic,1/1/11,12/31/14
21236,0JQ,11021,Vision Airlines,0JQ,11021,Vision Airlines,10,2,2,Latin America,7/1/11,12/31/14
21236,0JQ,1142,Vision Airlines,0JQ,1142,Vision Airlines,10,1,1,Domestic,7/1/09,12/31/10
21242,MW,1143,"Mokulele Flight Services, Inc.",MW,1143,"Mokulele Flight Services, Inc.",10,1,5,Domestic,1/1/13,
21242,0KQ,1143,"Mokulele Flight Services, Inc.",MW,1143,"Mokulele Flight Services, Inc.",10,1,5,Domestic,10/1/06,12/31/12
21247,S6,71043,Star Air A/S,S6,71043,Star Air A/S,419,0,0,International,2/1/08,
21248,0LQ,71044,"Metropix UK, LLP.",0LQ,71044,"Metropix UK, LLP.",493,0,0,International,1/1/07,
21253,0MQ,1145,"Multi-Aero, Inc. d/b/a Air Choice One",0MQ,1145,"Multi-Aero, Inc. d/b/a Air Choice One",10,1,6,Domestic,6/1/08,
21258,S3,71047,"Santa Barbara Airlines, C.A",S3,71047,"Santa Barbara Airlines, C.A",388,0,0,International,1/1/07,
21261,9W,71048,Jet Airways (India) Limited,9W,71048,Jet Airways (India) Limited,733,0,0,International,1/1/07,
