 total_passengers 
------------------
          2772143
(1 row)

         city_name         | state_name | airport_code |                      airline_name                       | passengers 
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        102
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        121
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        134
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |         99
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        128
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        105
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        126
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        162
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        119
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        124
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        128
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        121
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        140
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        128
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        136
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        133
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        138
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        139
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        163
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        141
 Colorado Springs, CO      | Colorado   | COS          | Republic Airlines                                       |         73
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |         70
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |         65
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |         60
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |         33
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |         65
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |         69
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        143
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |         64
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        178
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        113
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        180
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        126
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        136
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        180
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        110
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        145
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        151
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        136
 Denver, CO                | Colorado   | DEN          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Federal Express Corporation                             |          0
 Grand Junction, CO        | Colorado   | GJT          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Spirit Air Lines                                        |        144
 Montrose/Delta, CO        | Colorado   | MTJ          | Mesa Airlines Inc.                                      |         66
 Denver, CO                | Colorado   | DEN          | Trans States Airlines                                   |         45
 Durango, CO               | Colorado   | DRO          | Trans States Airlines                                   |         47
 Montrose/Delta, CO        | Colorado   | MTJ          | Envoy Air                                               |         48
 Denver, CO                | Colorado   | DEN          | Great Lakes Airlines                                    |         88
 Colorado Springs, CO      | Colorado   | COS          | ExpressJet Airlines Inc.                                |         47
 Denver, CO                | Colorado   | DEN          | ExpressJet Airlines Inc.                                |         47
 Denver, CO                | Colorado   | DEN          | United Parcel Service                                   |          0
 Denver, CO                | Colorado   | DEN          | United Parcel Service                                   |          0
 Denver, CO                | Colorado   | DEN          | United Parcel Service                                   |          0
 Denver, CO                | Colorado   | DEN          | American Airlines Inc.                                  |        267
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |        251
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |        356
 Denver, CO                | Colorado   | DEN          | GoJet Airlines LLC d/b/a United Express                 |        133
 Colorado Springs, CO      | Colorado   | COS          | SkyWest Airlines Inc.                                   |        125
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        124
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         87
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |         91
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        146
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        138
 Grand Junction, CO        | Colorado   | GJT          | SkyWest Airlines Inc.                                   |         73
 Grand Junction, CO        | Colorado   | GJT          | SkyWest Airlines Inc.                                   |         64
 Grand Junction, CO        | Colorado   | GJT          | SkyWest Airlines Inc.                                   |          0
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        275
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        244
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        322
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        269
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        180
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        318
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        205
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        243
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        250
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |         49
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        165
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        274
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        254
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        265
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        253
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        204
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        112
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        137
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        132
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        127
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        274
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        295
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        290
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        299
 Denver, CO                | Colorado   | DEN          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Endeavor Air Inc.                                       |        139
 Denver, CO                | Colorado   | DEN          | United Parcel Service                                   |          0
 Denver, CO                | Colorado   | DEN          | GoJet Airlines LLC d/b/a United Express                 |        199
 Denver, CO                | Colorado   | DEN          | GoJet Airlines LLC d/b/a United Express                 |        199
 Denver, CO                | Colorado   | DEN          | GoJet Airlines LLC d/b/a United Express                 |        191
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        119
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        193
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        211
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        192
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        203
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        115
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        135
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        141
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        192
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        131
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        131
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        201
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        206
 Montrose/Delta, CO        | Colorado   | MTJ          | SkyWest Airlines Inc.                                   |        140
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        358
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        346
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        462
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        331
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        513
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        388
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        383
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        400
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        347
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        424
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        391
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        385
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        417
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        481
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        417
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        330
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        350
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        374
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        193
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        190
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        169
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        197
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        213
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        122
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        424
 Denver, CO                | Colorado   | DEN          | Frontier Airlines Inc.                                  |        445
 Denver, CO                | Colorado   | DEN          | Trans States Airlines                                   |        100
 Denver, CO                | Colorado   | DEN          | Trans States Airlines                                   |        123
 Denver, CO                | Colorado   | DEN          | Trans States Airlines                                   |        132
 Denver, CO                | Colorado   | DEN          | Trans States Airlines                                   |        141
 Grand Junction, CO        | Colorado   | GJT          | Compass Airlines                                        |        126
 Denver, CO                | Colorado   | DEN          | American Airlines Inc.                                  |        483
 Denver, CO                | Colorado   | DEN          | GoJet Airlines LLC d/b/a United Express                 |        265
 Denver, CO                | Colorado   | DEN          | GoJet Airlines LLC d/b/a United Express                 |        255
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        188
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        260
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        277
 Denver, CO                | Colorado   | DEN          | SkyWest Airlines Inc.                                   |        236
 Durango, CO               | Colorado   | DRO          | SkyWest Airlines Inc.                                   |        164
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        555
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        623
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        571
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        588
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        503
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        479
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        545
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        638
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        754
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        456
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        615
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        397
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        497
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        668
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        506
