year,month,class,passengers ,freight ,mail,ramp_to_ramp,air_time,origin_airport_id,destination_airport_id,flight_id,unique_carrier_entity,departures_scheduled,departures_performed
2017,6,F,68,0,0,145,110,11292,14908,167,6700,1,1
2017,6,F,73,0,0,106,86,11292,15041,168,6700,1,1
2017,6,F,0,0,0,131,86,11298,11109,169,6700,1,1
2017,6,F,0,0,0,109,84,11921,12892,170,6700,1,1
2017,6,F,0,0,0,160,122,12266,11292,171,6700,1,1
2017,6,F,34,0,0,89,57,12441,11292,172,6700,1,1
2017,6,F,53,0,0,74,51,12888,11292,173,6700,1,1
2017,6,F,0,0,0,139,113,12892,11292,174,6700,1,1
2017,6,F,62,0,0,129,110,12992,11292,175,6700,1,1
2017,6,F,16,0,0,141,122,13264,11292,176,6700,1,1
2017,6,F,0,0,0,123,93,13486,11109,177,6700,1,1
2017,6,F,0,0,0,200,134,13930,11292,178,6700,1,1
2017,6,F,76,0,0,148,131,14057,11292,179,6700,1,1
2017,6,F,41,0,0,129,111,14252,11921,180,6700,1,1
2017,6,F,69,0,0,153,122,14679,11292,181,6700,1,1
2017,6,F,65,0,0,136,107,14683,11292,182,6700,1,1
2017,6,F,45,0,0,178,105,14794,11109,183,6700,1,1
2017,6,F,68,0,0,141,118,14893,11292,184,6700,1,1
2017,6,F,67,0,0,129,114,14908,11292,185,6700,1,1
2017,6,F,140,1,0,66,48,10140,11292,186,0A875,1,1
2017,6,F,151,0,1040,240,218,10529,11292,187,0A875,1,1
2017,6,F,127,0,1858,258,235,10721,11292,188,0A875,1,1
2017,6,F,84,0,0,107,67,10849,11292,189,0A875,1,1
2017,6,F,144,0,0,66,52,11292,10140,190,0A875,1,1
2017,6,F,154,55,23,94,66,11292,10620,191,0A875,1,1
2017,6,F,150,865,0,215,194,11292,10721,192,0A875,1,1
2017,6,F,144,181,0,89,74,11292,10849,193,0A875,1,1
2017,6,F,89,0,0,172,144,11292,11193,194,0A875,1,1
2017,6,F,86,0,1615,152,128,11292,11433,195,0A875,1,1
2017,6,F,126,0,0,215,203,11292,11697,196,0A875,1,1
2017,6,F,200,0,0,199,179,11292,12264,197,0A875,1,1
2017,6,F,126,0,75,140,113,11292,12266,198,0A875,1,1
2017,6,F,106,10,539,108,89,11292,12889,199,0A875,1,1
2017,6,F,137,703,1350,88,70,11292,13198,200,0A875,1,1
2017,6,F,102,0,40,208,184,11292,13204,201,0A875,1,1
2017,6,F,121,0,0,123,111,11292,13930,202,0A875,1,1
2017,6,F,134,55,1976,198,175,11292,14100,203,0A875,1,1
2017,6,F,99,0,0,120,102,11292,14262,204,0A875,1,1
2017,6,F,128,0,0,194,178,11292,14524,205,0A875,1,1
2017,6,F,105,0,0,128,113,11292,14570,206,0A875,1,1
2017,6,F,126,77,1604,85,69,11292,14869,207,0A875,1,1
2017,6,F,162,0,65,136,97,11292,15016,208,0A875,1,1
2017,6,F,119,0,97,115,95,11292,15016,209,0A875,1,1
2017,6,F,124,11,0,82,63,11292,15370,210,0A875,1,1
2017,6,F,173,306,361,216,185,12264,11292,211,0A875,1,1
2017,6,F,161,0,1335,141,119,12266,11292,212,0A875,1,1
2017,6,F,207,0,707,137,110,12266,11292,213,0A875,1,1
2017,6,F,107,0,954,101,80,13198,11292,214,0A875,1,1
2017,6,F,166,85,404,223,204,13204,11292,215,0A875,1,1
2017,6,F,164,0,0,123,105,14262,11292,216,0A875,1,1
2017,6,F,97,42,0,123,105,14262,11292,217,0A875,1,1
2017,6,F,138,0,0,230,200,14524,11292,218,0A875,1,1
